InvoiceID,Date,Hour,TimeSegment,Branch,CustomerType,Gender,ProductLine,UnitPrice,Quantity,Tax,Total,COGS,GrossMargin,GrossIncome,Payment,Rating,Month,City
765-26-6951,2019-01-01,10,Morning,A,Normal,Male,Sports and travel,72.61,6,21.783,457.443,435.66,4.761904762,21.783,Credit card,6.9,January,Yangon
746-04-1077,2019-01-01,11,Morning,B,Member,Female,Food and beverages,84.63,10,42.315,888.615,846.3,4.761904762,42.315,Credit card,9.0,January,Mandalay
133-14-7229,2019-01-01,11,Morning,C,Normal,Male,Health and beauty,62.87,2,6.287,132.027,125.74,4.761904762,6.287,Cash,5.0,January,Naypyitaw
271-77-8740,2019-01-01,11,Morning,C,Member,Female,Sports and travel,29.22,6,8.766,184.086,175.32,4.761904762,8.766,Ewallet,5.0,January,Naypyitaw
651-88-7328,2019-01-01,13,Afternoon,A,Normal,Female,Fashion accessories,65.74,9,29.583,621.243,591.66,4.761904762,29.583,Cash,7.7,January,Yangon
416-17-9926,2019-01-01,14,Afternoon,A,Member,Female,Electronic accessories,74.22,10,37.11,779.31,742.2,4.761904762,37.11,Credit card,4.3,January,Yangon
530-90-9855,2019-01-01,14,Afternoon,A,Member,Male,Home and lifestyle,47.59,8,19.036,399.756,380.72,4.761904762,19.036,Cash,5.7,January,Yangon
556-97-7101,2019-01-01,15,Afternoon,C,Normal,Female,Electronic accessories,63.22,2,6.322,132.762,126.44,4.761904762,6.322,Cash,8.5,January,Naypyitaw
891-01-7034,2019-01-01,19,Evening,B,Normal,Female,Electronic accessories,74.71,6,22.413,470.673,448.26,4.761904762,22.413,Cash,6.7,January,Mandalay
770-42-8960,2019-01-01,19,Evening,B,Normal,Male,Food and beverages,21.12,8,8.448,177.408,168.96,4.761904762,8.448,Cash,6.3,January,Mandalay
493-65-6248,2019-01-01,19,Evening,C,Member,Female,Sports and travel,36.98,10,18.49,388.29,369.8,4.761904762,18.49,Credit card,7.0,January,Naypyitaw
182-52-7000,2019-01-01,20,Evening,A,Member,Female,Sports and travel,27.04,4,5.408,113.568,108.16,4.761904762,5.408,Ewallet,6.9,January,Yangon
198-84-7132,2019-01-02,13,Afternoon,B,Member,Male,Fashion accessories,40.61,9,18.2745,383.7645,365.49,4.761904762,18.2745,Cash,7.0,January,Mandalay
244-08-0162,2019-01-02,13,Afternoon,B,Normal,Female,Health and beauty,34.21,10,17.105,359.205,342.1,4.761904762,17.105,Cash,5.1,January,Mandalay
712-39-0363,2019-01-02,15,Afternoon,A,Member,Male,Food and beverages,41.66,6,12.498,262.458,249.96,4.761904762,12.498,Ewallet,5.6,January,Yangon
504-35-8843,2019-01-02,16,Afternoon,A,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,42.47,4.761904762,2.1235,Cash,5.7,January,Yangon
345-68-9016,2019-01-02,16,Afternoon,C,Member,Female,Sports and travel,31.67,8,12.668,266.028,253.36,4.761904762,12.668,Credit card,5.6,January,Naypyitaw
744-09-5786,2019-01-02,18,Evening,B,Normal,Male,Electronic accessories,22.01,6,6.603,138.663,132.06,4.761904762,6.603,Cash,7.6,January,Mandalay
446-47-6729,2019-01-02,18,Evening,C,Normal,Male,Fashion accessories,99.82,2,9.982,209.622,199.64,4.761904762,9.982,Credit card,6.7,January,Naypyitaw
670-71-7306,2019-01-02,20,Evening,B,Normal,Male,Sports and travel,44.63,6,13.389,281.169,267.78,4.761904762,13.389,Credit card,5.1,January,Mandalay
343-87-0864,2019-01-03,10,Morning,C,Member,Male,Health and beauty,75.88,1,3.794,79.674,75.88,4.761904762,3.794,Credit card,7.1,January,Naypyitaw
249-42-3782,2019-01-03,11,Morning,A,Normal,Male,Health and beauty,70.01,5,17.5025,367.5525,350.05,4.761904762,17.5025,Ewallet,5.5,January,Yangon
749-24-1565,2019-01-03,12,Afternoon,A,Normal,Female,Health and beauty,23.03,9,10.3635,217.6335,207.27,4.761904762,10.3635,Ewallet,7.9,January,Yangon
875-31-8302,2019-01-03,13,Afternoon,B,Normal,Male,Sports and travel,93.38,1,4.669,98.049,93.38,4.761904762,4.669,Cash,9.6,January,Mandalay
422-29-8786,2019-01-03,16,Afternoon,A,Normal,Female,Home and lifestyle,67.09,5,16.7725,352.2225,335.45,4.761904762,16.7725,Credit card,9.1,January,Yangon
552-44-5977,2019-01-03,19,Evening,B,Member,Male,Health and beauty,62.0,8,24.8,520.8,496.0,4.761904762,24.8,Credit card,6.2,January,Mandalay
687-15-1097,2019-01-03,19,Evening,C,Member,Female,Health and beauty,21.12,2,2.112,44.352,42.24,4.761904762,2.112,Cash,9.7,January,Naypyitaw
501-61-1753,2019-01-03,20,Evening,B,Normal,Female,Home and lifestyle,63.15,6,18.945,397.845,378.9,4.761904762,18.945,Ewallet,9.8,January,Mandalay
132-23-6451,2019-01-04,13,Afternoon,A,Member,Male,Health and beauty,20.97,5,5.2425,110.0925,104.85,4.761904762,5.2425,Cash,7.8,January,Yangon
731-14-2199,2019-01-04,13,Afternoon,A,Member,Female,Home and lifestyle,35.54,10,17.77,373.17,355.4,4.761904762,17.77,Ewallet,7.0,January,Yangon
656-16-1063,2019-01-04,13,Afternoon,B,Normal,Male,Sports and travel,46.42,3,6.963,146.223,139.26,4.761904762,6.963,Credit card,4.4,January,Mandalay
672-51-8681,2019-01-04,18,Evening,C,Member,Female,Electronic accessories,66.65,9,29.9925,629.8425,599.85,4.761904762,29.9925,Credit card,9.7,January,Naypyitaw
279-74-2924,2019-01-04,19,Evening,B,Member,Male,Electronic accessories,72.17,1,3.6085,75.7785,72.17,4.761904762,3.6085,Cash,6.1,January,Mandalay
725-32-9708,2019-01-04,19,Evening,B,Member,Female,Fashion accessories,68.71,4,13.742,288.582,274.84,4.761904762,13.742,Cash,4.1,January,Mandalay
489-82-1237,2019-01-05,11,Morning,A,Normal,Female,Electronic accessories,93.88,7,32.858,690.018,657.16,4.761904762,32.858,Credit card,7.3,January,Yangon
217-58-1179,2019-01-05,11,Morning,A,Member,Male,Home and lifestyle,62.65,4,12.53,263.13,250.6,4.761904762,12.53,Cash,4.2,January,Yangon
339-12-4827,2019-01-05,11,Morning,B,Member,Female,Fashion accessories,73.96,1,3.698,77.658,73.96,4.761904762,3.698,Credit card,5.0,January,Mandalay
573-98-8548,2019-01-05,12,Afternoon,C,Member,Female,Fashion accessories,31.9,1,1.595,33.495,31.9,4.761904762,1.595,Ewallet,9.1,January,Naypyitaw
750-67-8428,2019-01-05,13,Afternoon,A,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,522.83,4.761904762,26.1415,Ewallet,9.1,January,Yangon
144-51-6085,2019-01-05,16,Afternoon,A,Member,Male,Home and lifestyle,70.74,4,14.148,297.108,282.96,4.761904762,14.148,Credit card,4.4,January,Yangon
209-61-0206,2019-01-05,17,Evening,A,Normal,Female,Home and lifestyle,42.91,5,10.7275,225.2775,214.55,4.761904762,10.7275,Ewallet,6.1,January,Yangon
843-01-4703,2019-01-05,19,Evening,B,Member,Female,Home and lifestyle,35.38,9,15.921,334.341,318.42,4.761904762,15.921,Credit card,9.6,January,Mandalay
433-08-7822,2019-01-05,19,Evening,C,Normal,Female,Health and beauty,78.89,7,27.6115,579.8415,552.23,4.761904762,27.6115,Ewallet,7.5,January,Naypyitaw
841-18-8232,2019-01-05,20,Evening,B,Normal,Female,Food and beverages,71.2,1,3.56,74.76,71.2,4.761904762,3.56,Credit card,9.2,January,Mandalay
628-34-3388,2019-01-05,20,Evening,C,Normal,Male,Fashion accessories,27.38,6,8.214,172.494,164.28,4.761904762,8.214,Credit card,7.9,January,Naypyitaw
801-88-0346,2019-01-05,20,Evening,C,Normal,Female,Fashion accessories,76.06,3,11.409,239.589,228.18,4.761904762,11.409,Credit card,9.8,January,Naypyitaw
846-10-0341,2019-01-06,11,Morning,A,Normal,Female,Fashion accessories,42.57,7,14.8995,312.8895,297.99,4.761904762,14.8995,Cash,6.8,January,Yangon
704-11-6354,2019-01-06,11,Morning,A,Member,Male,Home and lifestyle,58.9,8,23.56,494.76,471.2,4.761904762,23.56,Cash,8.9,January,Yangon
490-29-1201,2019-01-06,11,Morning,A,Normal,Female,Sports and travel,15.34,1,0.767,16.107,15.34,4.761904762,0.767,Cash,6.5,January,Yangon
729-06-2010,2019-01-06,11,Morning,B,Member,Male,Health and beauty,80.47,9,36.2115,760.4415,724.23,4.761904762,36.2115,Cash,9.2,January,Mandalay
834-25-9262,2019-01-06,12,Afternoon,C,Normal,Female,Fashion accessories,81.68,4,16.336,343.056,326.72,4.761904762,16.336,Cash,9.1,January,Naypyitaw
393-65-2792,2019-01-06,12,Afternoon,C,Normal,Male,Food and beverages,89.48,10,44.74,939.54,894.8,4.761904762,44.74,Credit card,9.6,January,Naypyitaw
662-72-2873,2019-01-06,13,Afternoon,A,Normal,Female,Food and beverages,40.94,5,10.235,214.935,204.7,4.761904762,10.235,Ewallet,9.9,January,Yangon
852-82-2749,2019-01-06,13,Afternoon,A,Normal,Male,Sports and travel,64.59,4,12.918,271.278,258.36,4.761904762,12.918,Ewallet,9.3,January,Yangon
826-58-8051,2019-01-06,19,Evening,B,Normal,Male,Home and lifestyle,62.19,4,12.438,261.198,248.76,4.761904762,12.438,Ewallet,4.3,January,Mandalay
126-54-1082,2019-01-07,11,Morning,A,Member,Female,Home and lifestyle,21.54,9,9.693,203.553,193.86,4.761904762,9.693,Credit card,8.8,January,Yangon
541-48-8554,2019-01-07,12,Afternoon,A,Normal,Male,Sports and travel,60.95,9,27.4275,575.9775,548.55,4.761904762,27.4275,Credit card,6.0,January,Yangon
889-04-9723,2019-01-07,12,Afternoon,B,Member,Female,Food and beverages,89.14,4,17.828,374.388,356.56,4.761904762,17.828,Credit card,7.8,January,Mandalay
390-31-6381,2019-01-07,12,Afternoon,C,Normal,Male,Food and beverages,27.22,3,4.083,85.743,81.66,4.761904762,4.083,Cash,7.3,January,Naypyitaw
232-16-2483,2019-01-07,12,Afternoon,C,Member,Female,Sports and travel,68.12,1,3.406,71.526,68.12,4.761904762,3.406,Ewallet,6.8,January,Naypyitaw
109-28-2512,2019-01-07,15,Afternoon,B,Member,Female,Fashion accessories,97.61,6,29.283,614.943,585.66,4.761904762,29.283,Ewallet,9.9,January,Mandalay
799-71-1548,2019-01-07,16,Afternoon,A,Member,Male,Electronic accessories,77.72,4,15.544,326.424,310.88,4.761904762,15.544,Credit card,8.8,January,Yangon
526-86-8552,2019-01-07,17,Evening,C,Member,Female,Home and lifestyle,21.82,10,10.91,229.11,218.2,4.761904762,10.91,Cash,7.1,January,Naypyitaw
566-19-5475,2019-01-07,20,Evening,B,Normal,Male,Fashion accessories,47.97,7,16.7895,352.5795,335.79,4.761904762,16.7895,Cash,6.2,January,Mandalay
767-97-4650,2019-01-08,11,Morning,B,Member,Female,Sports and travel,64.83,2,6.483,136.143,129.66,4.761904762,6.483,Credit card,8.0,January,Mandalay
442-44-6497,2019-01-08,11,Morning,C,Member,Male,Home and lifestyle,55.57,3,8.3355,175.0455,166.71,4.761904762,8.3355,Credit card,5.9,January,Naypyitaw
241-96-5076,2019-01-08,12,Afternoon,B,Member,Female,Home and lifestyle,49.1,2,4.91,103.11,98.2,4.761904762,4.91,Credit card,6.4,January,Mandalay
387-49-4215,2019-01-08,12,Afternoon,B,Member,Female,Sports and travel,48.5,3,7.275,152.775,145.5,4.761904762,7.275,Cash,6.7,January,Mandalay
674-15-9296,2019-01-08,13,Afternoon,A,Normal,Male,Sports and travel,37.14,5,9.285,194.985,185.7,4.761904762,9.285,Ewallet,5.0,January,Yangon
750-57-9686,2019-01-08,13,Afternoon,C,Normal,Female,Home and lifestyle,45.38,4,9.076,190.596,181.52,4.761904762,9.076,Credit card,8.7,January,Naypyitaw
124-31-1458,2019-01-08,14,Afternoon,A,Member,Female,Electronic accessories,79.59,3,11.9385,250.7085,238.77,4.761904762,11.9385,Cash,6.6,January,Yangon
490-95-0021,2019-01-08,14,Afternoon,B,Member,Female,Food and beverages,33.21,10,16.605,348.705,332.1,4.761904762,16.605,Ewallet,6.0,January,Mandalay
